CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO1;COMPRIMENTO1;LARGURA1;RESISTÊNCIA1;SUPERFÍCIE1;DESIGNAÇÃO2;COMPRIMENTO2;LARGURA2;RESISTÊNCIA2;SUPERFÍCIE2;DESIGNAÇÃO3;COMPRIMENTO3;LARGURA3;RESISTÊNCIA3;SUPERFÍCIE3;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;Unnamed: 36;Unnamed: 37;Unnamed: 38;Portaria nº 7.445/2022 e alterações posteriores;"PORTARIA Nº 7736/2022 e alterações posteriores
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
(* = REGIME TARIFÁRIO DIFERENCIADO)";AERONAVE CRÍTICA;TIPO DE APROX. (CABECEIRAS);FREQ. SEMANAL;r1;r2;REFERÊNCIA(S);RESTRIÇÃO(ÕES);SITUAÇÃO;r1.1;REFERÊNCIA;SITUADO NA AMAZÔNIA LEGAL;OBSERVAÇÕES;ICAO;TYPE;LATITUDE_d;LONGITUDE_d;ALTITUDE_m;DESIGNAÇÃO1_d_NM;COMPRIMENTO1_m;LARGURA1_m;DESIGNAÇÃO2_d_NM;COMPRIMENTO2_m;LARGURA2_m;DESIGNAÇÃO3_d_NM;COMPRIMENTO3_m;LARGURA3_m;N_RWYs
SNRU;PE0004;CARUARU;CARUARU;PE;8° 17' 4'' S;36° 0' 39'' W;576 m;VFR Diurno;-;-; 13/31;1800 m;30 m;PCN 30/F/A/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1090;0;0;0;PA2020-1090;;;;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNRU;BR_publico_Atualizadoem_19JUL2022;-8,284444444;-36,01083333;576;130;1800;30;;;;;;;1
SNRX;MA0009;RIACHÃO;RIACHÃO;MA;7° 21' 1'' S;46° 38' 2'' W;400 m;VFR Diurno;-;-; 12/30;1200 m;40 m;PCN 6/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-1040;PA2020-1040;X;-;SNRX;BR_publico_Atualizadoem_19JUL2022;-7,350277778;-46,63388889;400;120;1200;40;;;;;;;1
SNRZ;MG0049;OLIVEIRA;OLIVEIRA;MG;20° 42' 52'' S;44° 51' 55'' W;1015 m;VFR Diurno/Noturno;-;-; 03/21;1180 m;18 m;5700 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2420;0;0;0;PA2020-2420;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNRZ;BR_publico_Atualizadoem_19JUL2022;-20,71444444;-44,86527778;1015;30;1180;18;;;;;;;1
SNSE;BA0056;SENTO SÉ;SENTO SÉ;BA;9° 45' 27'' S;41° 51' 18'' W;398 m;VFR Diurno;-;-; 15/33;1100 m;21 m;PCN 10/F/B/Y/U;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1707;0;0;0;PA2014-1707;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNSE;BR_publico_Atualizadoem_19JUL2022;-9,7575;-41,855;398;150;1100;21;;;;;;;1
SNSG;PE0008;SALGUEIRO;SALGUEIRO;PE;8° 2' 48'' S;39° 8' 2'' W;469 m;VFR Diurno;-;-; 17/35;1300 m;30 m;PCN 6/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1374;0;0;0;PA2018-1374;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-0999;PA2020-0999;;-;SNSG;BR_publico_Atualizadoem_19JUL2022;-8,046666667;-39,13388889;469;170;1300;30;;;;;;;1
SNSI;MG0076;SANTA MARIA DO SUAÇUÍ;SANTA MARIA DO SUAÇUÍ;MG;18° 11' 55'' S;42° 27' 58'' W;480 m;VFR Diurno;-;-; 03/21;740 m;18 m;2500 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6997;0;0;0;PA2022-6997;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-2489;PA2020-2489;;-;SNSI;BR_publico_Atualizadoem_19JUL2022;-18,19861111;-42,46611111;480;30;740;18;;;;;;;1
SNSM;PA0250;SALINÓPOLIS;SALINÓPOLIS;PA;0° 41' 47'' S;47° 20' 12'' W;36 m;VFR Diurno;-;-; 09/27;1600 m;30 m;5700 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6645;0;0;0;PA2021-6645;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;-;-;X;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC + Proibidas as operações de pouso de aeronaves a jato (Documento SEI nº 6555886);SNSM;BR_publico_Atualizadoem_19JUL2022;-0,696388889;-47,33666667;36;90;1600;30;;;;;;;1
SNSS;MG0029;SALINAS;SALINAS;MG;16° 12' 30'' S;42° 19' 19'' W;763 m;VFR Diurno;-;-; 18/36;1480 m;30 m;PCN 8/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2065;0;0;0;PA2019-2065;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNSS;BR_publico_Atualizadoem_19JUL2022;-16,20833333;-42,32194444;763;180;1480;30;;;;;;;1
SNTF;BA0016;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA;17° 31' 28'' S;39° 40' 6'' W;105 m;VFR Diurno/Noturno;-;-; 11/29;1460 m;30 m;PCN 31/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1877;0;0;0;PA2014-1877;;;;AP-1;Classe I;4ª;3C;NINST;8;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SNTF;BR_publico_Atualizadoem_19JUL2022;-17,52444444;-39,66833333;105;110;1460;30;;;;;;;1
SNTI;PA0016;ÓBIDOS;ÓBIDOS;PA;1° 52' 5'' S;55° 30' 52'' W;100 m;VFR Diurno;-;-; 10/28;1520 m;30 m;PCN 9/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2710;0;0;0;PA2017-2710;;;;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-;SNTI;BR_publico_Atualizadoem_19JUL2022;-1,868055556;-55,51444444;100;100;1520;30;;;;;;;1
SNTM;MG0068;TURMALINA;TURMALINA;MG;17° 14' 2'' S;42° 44' 2'' W;882 m;VFR Diurno;-;-; 01/19;1000 m;30 m;2500 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC;SNTM;BR_publico_Atualizadoem_19JUL2022;-17,23388889;-42,73388889;882;10;1000;30;;;;;;;1
SNTO;MG0048;JUSCELINO KUBITSCHECK;TEÓFILO OTONI;MG;17° 53' 27'' S;41° 30' 54'' W;480 m;VFR Diurno/Noturno;-;-; 11/29;1190 m;23 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1559;0;0;0;PA2020-1559;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SNTO;BR_publico_Atualizadoem_19JUL2022;-17,89083333;-41,515;480;110;1190;23;;;;;;;1
SNTQ;BA0053;BURITIRAMA;BURITIRAMA;BA;10° 43' 18'' S;43° 39' 13'' W;499 m;VFR Diurno;-;-; 11/29;1116 m;26 m;5700 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2911;0;0;0;PA2015-2911;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNTQ;BR_publico_Atualizadoem_19JUL2022;-10,72166667;-43,65361111;499;110;1116;26;;;;;;;1
SNTS;PB0005;BRIGADEIRO FIRMINO AYRES;PATOS;PB;7° 2' 16'' S;37° 15' 27'' W;265 m;VFR Diurno/Noturno;-;-; 12/30;1600 m;30 m;PCN 6/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4760;0;0;0;PA2021-4760;;;;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNTS;BR_publico_Atualizadoem_19JUL2022;-7,037777778;-37,2575;265;120;1600;30;;;;;;;1
SNUB;MG0058;UBÁ;UBÁ;MG;21° 7' 21'' S;42° 52' 56'' W;340 m;VFR Diurno;-;-; 16/34;1080 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1983-0189;0;0;0;PD1983-0189;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNUB;BR_publico_Atualizadoem_19JUL2022;-21,1225;-42,88222222;340;160;1080;30;;;;;;;1
SNUC;RN0003;AÇU;AÇU;RN;5° 35' 42'' S;36° 57' 39'' W;111 m;VFR Diurno;-;-; 11/29;1500 m;14 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0351;0;0;0;PA2016-0351;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNUC;BR_publico_Atualizadoem_19JUL2022;-5,595;-36,96083333;111;110;1500;14;;;;;;;1
SNUH;MG0054;PIUMHI;PIUMHI;MG;20° 26' 20'' S;45° 59' 32'' W;751 m;VFR Diurno;-;-; 07/25;1148 m;30 m;PCN 14/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1981;0;0;0;PA2020-1981;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNUH;BR_publico_Atualizadoem_19JUL2022;-20,43888889;-45,99222222;751;70;1148;30;;;;;;;1
SNUI;MG0045;ARAÇUAÍ;ARAÇUAÍ;MG;16° 51' 7'' S;42° 2' 46'' W;328 m;VFR Diurno;-;-; 08/26;1200 m;30 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3956;0;0;0;PA2021-3956;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNUI;BR_publico_Atualizadoem_19JUL2022;-16,85194444;-42,04611111;328;80;1200;30;;;;;;;1
SNUN;MG0055;UNAÍ;UNAÍ;MG;16° 21' 14'' S;46° 55' 37'' W;609 m;VFR Diurno;-;-; 17/35;1100 m;30 m;PCN 10/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC;SNUN;BR_publico_Atualizadoem_19JUL2022;-16,35388889;-46,92694444;609;170;1100;30;;;;;;;1
SNVB;BA0008;VALENÇA;VALENÇA;BA;13° 17' 47'' S;38° 59' 33'' W;5 m;VFR Diurno/Noturno;-;-; 04/22;1800 m;30 m;PCN 55/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-3090;0;0;0;PA2015-3090;;;;AP-0;Classe I;3ª;4C;NINST;7;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;Proibição de operação da aviação comercial regular e na modalidade de operação charter.;PA2021-5832;PA2021-5832;;-;SNVB;BR_publico_Atualizadoem_19JUL2022;-13,29638889;-38,9925;5;40;1800;30;;;;;;;1
SNVC;MG0074;VIÇOSA;VIÇOSA;MG;20° 44' 41'' S;42° 50' 31'' W;659 m;VFR Diurno;-;-; 17/35;900 m;30 m;5000 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNVC;BR_publico_Atualizadoem_19JUL2022;-20,74472222;-42,84194444;659;170;900;30;;;;;;;1
SNVD;BA0050;SANTA MARIA DA VITÓRIA;SANTA MARIA DA VITÓRIA;BA;13° 24' 17'' S;44° 13' 23'' W;465 m;VFR Diurno;-;-; 10/28;1200 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1706;0;0;0;PA2014-1706;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNVD;BR_publico_Atualizadoem_19JUL2022;-13,40472222;-44,22305556;465;100;1200;30;;;;;;;1
SNVI;MG0035;MELLO VIANA;TRÊS CORAÇÕES;MG;21° 47' 21'' S;45° 16' 5'' W;976 m;VFR Diurno/Noturno;-;-; 04/22;1400 m;23 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2431;0;0;0;PA2019-2431;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNVI;BR_publico_Atualizadoem_19JUL2022;-21,78916667;-45,26805556;976;40;1400;23;;;;;;;1
SNVS;PA0015;BREVES;BREVES;PA;1° 38' 11'' S;50° 26' 36'' W;30 m;VFR Diurno;-;-; 07/25;1600 m;30 m;PCN 27/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0724;0;0;0;PA2016-0724;;;;AP-1;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;X;-;SNVS;BR_publico_Atualizadoem_19JUL2022;-1,636388889;-50,44333333;30;70;1600;30;;;;;;;1
SNWC;CE0011;CAMOCIM;CAMOCIM;CE;2° 53' 45'' S;40° 51' 32'' W;14 m;VFR Diurno/Noturno;-;-; 14/32;1200 m;30 m;PCN 14/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1190;0;0;0;PA2020-1190;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNWC;BR_publico_Atualizadoem_19JUL2022;-2,895833333;-40,85888889;14;140;1200;30;;;;;;;1
SNWS;CE0005;CRATEÚS;CRATEÚS;CE;5° 12' 40'' S;40° 42' 15'' W;318 m;VFR Diurno/Noturno;-;-; 08/26;1500 m;30 m;PCN 12/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3477;0;0;0;PA2020-3477;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNWS;BR_publico_Atualizadoem_19JUL2022;-5,211111111;-40,70416667;318;80;1500;30;;;;;;;1
SNXB;MG0025;CAXAMBU;CAXAMBU;MG;21° 55' 3'' S;44° 58' 10'' W;865 m;VFR Diurno/Noturno;-;-; 09/27;1500 m;30 m;PCN 8/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1077;0;0;0;PA2020-1077;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNXB;BR_publico_Atualizadoem_19JUL2022;-21,9175;-44,96944444;865;90;1500;30;;;;;;;1
SNXQ;BA0018;XIQUE-XIQUE;XIQUE-XIQUE;BA;10° 50' 3'' S;42° 41' 0'' W;427 m;VFR Diurno;-;-; 13/31;1420 m;20 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-2207;0;0;0;PA2014-2207;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2021-6263;PA2021-6263;;-;SNXQ;BR_publico_Atualizadoem_19JUL2022;-10,83416667;-42,68333333;427;130;1420;20;;;;;;;1
SNYA;PA0024;ALMEIRIM;ALMEIRIM;PA;1° 28' 45'' S;52° 34' 41'' W;178 m;VFR Diurno;-;-; 06/24;1200 m;30 m;PCN 7/F/B/Y/U;Piçarra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0560;0;0;0;PA2015-0560;;;;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-;SNYA;BR_publico_Atualizadoem_19JUL2022;-1,479166667;-52,57805556;178;60;1200;30;;;;;;;1
SNYB;MG0047;TITO TEIXEIRA;ITUIUTABA;MG;19° 0' 7'' S;49° 29' 14'' W;605 m;VFR Diurno;-;-; 03/21;1200 m;30 m;PCN 8/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNYB;BR_publico_Atualizadoem_19JUL2022;-19,00194444;-49,48722222;605;30;1200;30;;;;;;;1
SNYE;MA0004;PINHEIRO;PINHEIRO;MA;2° 28' 39'' S;45° 6' 18'' W;20 m;VFR Diurno;-;-; 09/27;1740 m;30 m;PCN 29/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0706;0;0;0;PA2020-0706;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2022-6928;PA2022-6928;X;-;SNYE;BR_publico_Atualizadoem_19JUL2022;-2,4775;-45,105;20;90;1740;30;;;;;;;1
SNYU;MG0014;ITURAMA;ITURAMA;MG;19° 43' 2'' S;50° 13' 13'' W;475 m;VFR Diurno/Noturno;-;-; 18/36;1550 m;30 m;PCN 10/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2411;0;0;0;PA2020-2411;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SNYU;BR_publico_Atualizadoem_19JUL2022;-19,71722222;-50,22027778;475;180;1550;30;;;;;;;1
SNZA;MG0038;POUSO ALEGRE;POUSO ALEGRE;MG;22° 17' 20'' S;45° 55' 10'' W;885 m;VFR Diurno;-;-; 01/19;1280 m;30 m;PCN 14/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3470;0;0;0;PA2020-3470;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-;SNZA;BR_publico_Atualizadoem_19JUL2022;-22,28888889;-45,91944444;885;10;1280;30;;;;;;;1
SNZR;MG0026;PEDRO RABELO DE SOUZA;PARACATU;MG;17° 14' 35'' S;46° 52' 53'' W;730 m;VFR Diurno;-;-; 11/29;1500 m;30 m;PCN 11/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3129;0;0;0;PA2018-3129;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SNZR;BR_publico_Atualizadoem_19JUL2022;-17,24305556;-46,88138889;730;110;1500;30;;;;;;;1
SSAB;PR0024;MOISÉS LUPION;IBAITI;PR;23° 45' 47'' S;50° 15' 53'' W;600 m;VFR Diurno;-;-; 05/23;1200 m;18 m;5700 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2711;0;0;0;PA2017-2711;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSAB;BR_publico_Atualizadoem_19JUL2022;-23,76305556;-50,26472222;600;50;1200;18;;;;;;;1
SSAE;RS0040;ARROIO GRANDE;ARROIO GRANDE;RS;32° 13' 45'' S;53° 3' 21'' W;49 m;VFR Diurno;-;-; 06/24;1000 m;18 m;5700 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2952;0;0;0;PA2018-2952;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSAE;BR_publico_Atualizadoem_19JUL2022;-32,22916667;-53,05583333;49;60;1000;18;;;;;;;1
SSAK;RS0048;CARLOS RUHL;CRUZ ALTA;RS;28° 39' 31'' S;53° 36' 41'' W;481 m;VFR Diurno;-;-; 08/26;800 m;42 m;2500 kg / 0.5 MPa;Grama; 17/35;650 m;46 m;2500 kg / 0.5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;PA2020-2975;0;0;0;PA2020-2975;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSAK;BR_publico_Atualizadoem_19JUL2022;-28,65861111;-53,61138889;481;80;800;42;170;650;46;;;;2
